,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
428,Semarang,1700000000.0,3,200,200,110.4229104,-6.9903987999999995
429,Ngaliyan,350000000.0,2,100,139,110.32811600554784,-6.99605755
431,Banyumanik,385000000.0,3,86,86,110.42012735052951,-7.06802325
432,Genuk,350000000.0,2,36,72,110.47772717287395,-6.9655030500000015
433,Tlogomulyo,700000000.0,3,80,90,110.48109050000001,-6.9942871
434,Semarang,400000000.0,2,45,63,110.4229104,-6.9903987999999995
435,Brumbungan,2200000000.0,4,175,210,110.42594840000002,-6.9828863
436,Gunungpati,575000000.0,3,122,122,110.3545706,-7.092623700000001
437,Tembalang,475000000.0,2,36,94,110.45952907126915,-7.04583375
438,Tembalang,2900000000.0,3,194,220,110.45952907126915,-7.04583375
440,Semarang,1275000000.0,3,110,135,110.4229104,-6.9903987999999995
442,Manyaran,2450000000.0,3,112,234,110.3854405,-7.0027694
443,Tembalang,565000000.0,2,40,96,110.45952907126915,-7.04583375
445,Semarang,1400000000.0,3,280,150,110.4229104,-6.9903987999999995
447,Sambiroto,1750000000.0,5,180,120,110.45565500000001,-7.0324677
448,Tembalang,1300000000.0,3,160,105,110.45952907126915,-7.04583375
449,Semarang,850000000.0,4,110,91,110.4229104,-6.9903987999999995
451,Pedurungan,549000000.0,3,110,60,110.4738378,-7.0027211
452,Gisikdrono,1700000000.0,5,180,211,110.3873057,-6.9893054
454,Pedurungan,345000000.0,2,54,75,110.4826054,-7.008032400000001
457,Semarang,1800000000.0,2,111,115,110.4229104,-6.9903987999999995
459,Ngemplak,1050100000.0,3,69,72,110.39130136522728,-7.0045617500000015
460,Pedurungan,450000000.0,2,40,119,110.47735690000002,-7.0176717
462,Tembalang,635000000.0,2,38,1,110.45952907126915,-7.04583375
469,Semarang,890000000.0,2,126,126,110.4229104,-6.9903987999999995
470,Tembalang,1300000000.0,3,160,105,110.45952907126915,-7.04583375
473,Tawangsari,650000000.0,2,90,112,110.38756670000001,-6.9692814
475,Semarang,1500000000.0,3,140,150,110.4229104,-6.9903987999999995
477,Pedurungan,635000000.0,2,50,150,110.4738378,-7.0027211
480,Patemon,421237500.0,2,36,120,110.3968419,-7.0675265
481,Tlogomulyo,395000000.0,2,45,72,110.48109050000001,-6.9942871
