,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
841,Tembalang,1400000000.0,4,270,150,110.45952907126915,-7.04583375
842,Tembalang,850000000.0,3,120,133,110.45952907126915,-7.04583375
843,Pedurungan,559000000.0,3,73,65,110.4738378,-7.0027211
844,Banyumanik,465000000.0,2,60,100,110.42012735052951,-7.06802325
845,Banyumanik,1350000000.0,3,150,96,110.42012735052951,-7.06802325
846,Ngesrep,2500000000.0,4,145,189,110.42604720000001,-7.0392094
847,Ngaliyan,800000000.0,4,150,90,110.32811600554784,-6.99605755
848,Jomblang,575000000.0,3,120,64,110.43721470000001,-7.0134525
850,Semarang,850000000.0,3,100,100,110.4229104,-6.9903987999999995
851,Sambiroto,1290000000.0,3,100,160,110.45565500000001,-7.0324677
852,Pedurungan,658000000.0,2,45,120,110.4738378,-7.0027211
853,Semarang,425000000.0,3,80,96,110.4229104,-6.9903987999999995
854,Semarang,850000000.0,5,250,100,110.4229104,-6.9903987999999995
855,Semarang,425000000.0,3,80,96,110.4229104,-6.9903987999999995
856,Semarang,900000000.0,3,120,247,110.4229104,-6.9903987999999995
857,Tambakharjo,750000000.0,2,90,90,110.3667517,-6.9804284
858,Tembalang,700000000.0,2,61,132,110.45952907126915,-7.04583375
859,Gunungpati,400000000.0,2,80,81,110.3545706,-7.092623700000001
860,Gunungpati,400000000.0,2,80,84,110.3545706,-7.092623700000001
862,Ngaliyan,795000000.0,2,45,152,110.32811600554784,-6.99605755
863,Manyaran,775000000.0,3,75,90,110.3854405,-7.0027694
864,Tembalang,850000000.0,3,70,100,110.45952907126915,-7.04583375
865,Gajahmungkur,2750000000.0,3,200,210,110.41821085,-7.016690199999998
866,Semarang,1000000000.0,2,140,180,110.4229104,-6.9903987999999995
